cow_id,bull_id
NL00000044099,US00000003013
GB00000020863,US00000003013
NL00000041070,US00000003013
US00000044168,US00000003013
FR00000044264,US00000003013
DE00000021140,US00000003013
DE00000044327,US00000003013
NL00000021154,US00000003013
GB00000021155,US00000003013
NL00000021160,US00000003013
US00000021756,US00000003013
GB00000019285,US00000003013
US00000019298,US00000003013
DE00000019559,US00000003013
GB00000021695,US00000003013
GB00000021730,US00000003013
FR00000044974,US00000003013
US00000045016,US00000003013
US00000044459,US00000003013
FR00000021321,US00000003013
DE00000021381,US00000003013
US00000021452,US00000003013
DE00000021456,US00000003013
RU00000044686,US00000003013
FR00000044720,US00000003013
NL00000021595,US00000003013
GB00000047348,US00000003013
NL00000047361,US00000003013
US00000024225,US00000003013
FR00000022228,US00000003013
FR00000045419,US00000003013
FR00000022024,US00000003013
FR00000045204,US00000003013
NL00000022055,US00000003013
RU00000022057,US00000003013
FR00000022113,US00000003013
FR00000045269,US00000003013
DE00000045272,US00000003013
RU00000022152,US00000003013
GB00000049011,US00000003013
RU00000049056,US00000003013
US00000049075,US00000003013
RU00000025912,US00000003013
RU00000025926,US00000003013
US00000047583,US00000003013
FR00000047606,US00000003013
DE00000024506,US00000003013
RU00000024532,US00000003013
GB00000024547,US00000003013
US00000022436,US00000003013
GB00000022551,US00000003013
FR00000045719,US00000003013
DE00000022562,US00000003013
FR00000024552,US00000003013
RU00000047760,US00000003013
NL00000047800,US00000003013
FR00000024678,US00000003013
US00000026066,US00000003013
GB00000049241,US00000003013
NL00000049281,US00000003013
NL00000049321,US00000003013
FR00000049365,US00000003013
US00000049391,US00000003013
FR00000049498,US00000003013
DE00000026314,US00000003013
NL00000024695,US00000003013
GB00000024712,US00000003013
FR00000024732,US00000003013
US00000024767,US00000003013
NL00000022708,US00000003013
FR00000045998,US00000003013
US00000046036,US00000003013
FR00000022931,US00000003013
NL00000022980,US00000003013
NL00000023022,US00000003013
DE00000046313,US00000003013
GB00000023134,US00000003013
DE00000023145,US00000003013
US00000023185,US00000003013
NL00000046392,US00000003013
RU00000024797,US00000003013
NL00000024815,US00000003013
GB00000026381,US00000003013
NL00000049751,US00000003013
FR00000049947,US00000003013
DE00000049952,US00000003013
RU00000024883,US00000003013
GB00000024898,US00000003013
RU00000048051,US00000003013
DE00000048132,US00000003013
NL00000048133,US00000003013
US00000046528,US00000003013
US00000046561,US00000003013
NL00000048185,US00000003013
FR00000048251,US00000003013
US00000048388,US00000003013
NL00000048396,US00000003013
US00000046704,US00000003013
RU00000046758,US00000003013
DE00000023626,US00000003013
US00000046874,US00000003013
US00000023698,US00000003013
NL00000046920,US00000003013
DE00000046942,US00000003013
RU00000025345,US00000003013
US00000025353,US00000003013
DE00000048548,US00000003013
GB00000048595,US00000003013
RU00000048650,US00000003013
NL00000046958,US00000003013
US00000023832,US00000003013
US00000023869,US00000003013
NL00000023959,US00000003013
RU00000023988,US00000003013
DE00000023990,US00000003013
NL00000024026,US00000003013
US00000024064,US00000003013
NL00000026814,US00000003013
GB00000077682,US00000003013
RU00000025542,US00000003013
US00000048754,US00000003013
RU00000025770,US00000003013
RU00000056720,US00000003013
GB00000056733,US00000003013
FR00000056899,US00000003013
FR00000070420,US00000003013
US00000070491,US00000003013
GB00000070504,US00000003013
RU00000057191,US00000003013
DE00000063446,US00000003013
FR00000057616,US00000003013
RU00000063677,US00000003013
NL00000063770,US00000003013
NL00000063849,US00000003013
DE00000070874,US00000003013
RU00000071048,US00000003013
FR00000057800,US00000003013
GB00000057810,US00000003013
DE00000058129,US00000003013
FR00000064289,US00000003013
RU00000064607,US00000003013
FR00000055018,US00000003013
DE00000055129,US00000003013
NL00000064813,US00000003013
GB00000071324,US00000003013
RU00000055210,US00000003013
NL00000058692,US00000003013
GB00000058826,US00000003013
RU00000055307,US00000003013
DE00000055352,US00000003013
RU00000055446,US00000003013
DE00000059151,US00000003013
RU00000059184,US00000003013
GB00000065455,US00000003013
FR00000065594,US00000003013
DE00000059491,US00000003013
NL00000056074,US00000003013
FR00000056083,US00000003013
DE00000056260,US00000003013
RU00000060164,US00000003013
US00000004469,US00000003013
US00000004538,US00000003013
RU00000066512,US00000003013
DE00000005490,US00000003013
DE00000005572,US00000003013
FR00000005725,US00000003013
FR00000005777,US00000003013
DE00000060842,US00000003013
RU00000060950,US00000003013
RU00000067153,US00000003013
RU00000006663,US00000003013
NL00000067589,US00000003013
GB00000067733,US00000003013
NL00000067804,US00000003013
NL00000061676,US00000003013
FR00000061755,US00000003013
NL00000007810,US00000003013
GB00000068101,US00000003013
US00000068120,US00000003013
DE00000008035,US00000003013
GB00000008544,US00000003013
NL00000071465,US00000003013
DE00000009696,US00000003013
US00000071664,US00000003013
GB00000071779,US00000003013
US00000068670,US00000003013
DE00000010556,US00000003013
RU00000071918,US00000003013
DE00000068902,US00000003013
US00000068963,US00000003013
NL00000069178,US00000003013
DE00000011172,US00000003013
FR00000012034,US00000003013
FR00000012035,US00000003013
